category_l1,category_l2,search_terms
beauty,bathing,soft towel
footwear,sandals,groovy pair sandals
housewares,consumable,
beauty,grooming,touch
salty snacks,nuts/seeds,daily intake
groceries,dairy,cheese
jewelry,earrings,supercool earrings
homedecor,decorative,frame
tools,plier,essential
homedecor,cushion,antique white rectangular cushion
apparel,jacket,mango coat
apparel,jacket,dark slate gray jacket men
apparel,scarf,scarf women
apparel,scarf,women
apparel,scarf,first-rate scarf women
apparel,shirt,flawless white dressy
apparel,jacket,well-insulated jacket men
furniture,tables,cool wooden coffee table
furniture,tables,definitive burlywood
furniture,dressers,"incomparable gainsboro dresser,two drawers"
furniture,dressers,"outstanding rosy-brown dresser,three drawers"
furniture,dressers,incomparable dresser lots drawers
furniture,sofas,upscale leather sofa
accessories,backpack,dark gray backpack men
accessories,glasses,ultrachic glasses
footwear,sneaker,white sneakers
footwear,sneaker,swell pair forest green sneakers
footwear,sneaker,"funky pair,brown sneakers"
furniture,chairs,cool dark goldenrod
floral,wreath,"wedding wreath,farms"
footwear,formal,"pair saddle,formal shoes"
footwear,formal,tan formal shoes
footwear,formal,sienna formal shoes
groceries,dairy,butter
jewelry,earrings,spiffy earrings women
outdoors,fishing,fishing reel
housewares,bowls,sumptuous ceramic bowl
food service,soup and salad,full omega oils
salty snacks,potato chips,"crunchy,crumbs"
groceries,seafood,"delicious,salmon"
homedecor,clock,table clock
homedecor,cushion,gray set cushion
furniture,sofas,lavish forest green sofa
furniture,sofas,sumptuous rosy-brown sofa
instruments,strings,electric guitar
accessories,backpack,dark khaki backpack men
accessories,backpack,leather
accessories,bag,light gray bag women
accessories,bag,black bag men
accessories,glasses,"funky glasses,women"
accessories,glasses,swell
accessories,handbag,casual maroon handbag
footwear,sneaker,all-around ultrachic pair
footwear,sneaker,hip pair goldenrod sneakers
footwear,sneaker,"trendy pair,black white sneakers"
footwear,sneaker,fashionable pair black sneakers
housewares,bowls,refined ceramic bowl
groceries,meat,beef
jewelry,earrings,dandyish earrings
jewelry,necklace,"ultracool necklace,everyday"
outdoors,camping,camping cup
outdoors,fishing,trustworthy fishing net
homedecor,lighting,floor lamp
groceries,seafood,yummy oysters
apparel,jacket,all-seasons
apparel,scarf,fashionable scarf men
apparel,shirt,blue
apparel,jacket,cool
apparel,jacket,well-insulated casual coat men
jewelry,bracelet,neat bracelet women
furniture,sofas,fancy peru-orange sofa
furniture,sofas,rich pale gray sofa
instruments,keys,upright piano perfect
accessories,bag,saddle brown bag men
accessories,handbag,light coral handbag
accessories,handbag,pink dressy handbag
accessories,handbag,handbag
accessories,handbag,gray handbag
electronics,speaker,accurate speakers
footwear,sneaker,all-around intrepid pair
furniture,chairs,fashionable goldenrod
furniture,chairs,incomparable white chair
furniture,chairs,soft dark
floral,plant,"indoor plant,organic farms"
apparel,shirt,linen hue casual
beauty,bathing,must-have
beauty,bathing,nice towel
jewelry,necklace,quintessential necklace
outdoors,camping,"camping,compass"
housewares,bowls,classy ceramic bowl
housewares,bowls,classic ceramic bowl
tools,saw,
homedecor,cushion,dark blue round cushion
homedecor,cushion,dark slate gray
homedecor,cushion,light gray set
apparel,scarf,outstanding scarf
apparel,scarf,fashionable scarf women
apparel,shirt,white casual
apparel,jacket,cool casual
apparel,jacket,warm casual jacket men
apparel,jacket,warm winter casual coat men
apparel,jacket,well-insulated winter
furniture,tables,modish white accent table
instruments,percussion,acoustic drum delight
instruments,percussion,acoustic
accessories,bag,black
accessories,bag,peru-orange bag
accessories,belt,belt
accessories,glasses,trendy glasses men
floral,arrangement,lilies arrangement
apparel,shirt,supercool dressy shirt
beauty,bathing,product
beauty,grooming,soft toothbrush everyday
footwear,formal,pair beige heels
footwear,sandals,supercool pair sandals
jewelry,earrings,sassy earrings women
jewelry,necklace,sassy necklace women
jewelry,necklace,edgy necklace women
outdoors,camping,lamp
housewares,bowls,lovely ceramic bowl
housewares,bowls,wood bowl
housewares,kitchen,
tools,wrench,
groceries,seafood,yummy lobster
homedecor,cushion,light blue rectangular cushion
homedecor,cushion,cushions
homedecor,cushion,light gray set cushion
homedecor,cushion,square cushion
apparel,jacket,black jacket men
apparel,shirt,sublime
apparel,jacket,jacket women
furniture,chairs,definitive light slate
furniture,chairs,incomparable dark
furniture,sofas,definitive slate
furniture,tables,outstanding dark slate
furniture,tables,unrivaled
jewelry,bracelet,beautiful bracelet women
books,cooking,"learn cook,swedish cuisine"
instruments,percussion,drum set delight
accessories,backpack,purple backpack women
accessories,glasses,swanky glasses
accessories,handbag,"casual dark gray handbag,pareil"
accessories,handbag,black dressy handbag
